model_info,model_info,model_info,train,train,train,train,train,train,train,train,train,train,train,val,val,val,val,val,val,val,val,val,val,val,test,test,test,test,test,test,test,test,test,test,test,training_info,training_info,training_info,training_info,hyperparams,hyperparams,hyperparams,hyperparams,hyperparams,hyperparams,model_info,dataset,dataset,dataset,dataset,dataset,dataset,preprocessing,preprocessing,preprocessing,preprocessing,train_test_split,train_test_split,train_test_split,train_test_split,train_val_split,train_val_split,training,training,training,training,training,training,training,training,training_info,training_info,training_info
resample_number,cv_fold,model_number,r2,rmsd,mse,bias,sdep,mae,pearson,spearman,kendall,y_stddev,loss,r2,rmsd,mse,bias,sdep,mae,pearson,spearman,kendall,y_stddev,loss,r2,rmsd,mse,bias,sdep,mae,pearson,spearman,kendall,y_stddev,loss,date,training_time,epochs,deepchem_version,batch_normalize,batch_size,learning_rate,dense_layer_size,graph_conv_layers,dropout,notes,mode,dataset_file,tasks,feature_field,id_field,rdkit_desc,featurizer,ph,phmodel,tauto,split_method,n_splits,frac_train,frac_test,split_method,n_splits,n_cpus,epochs,model_fn_str,hyperparam_search,early_stopping,save_model,save_predictions,save_fps,n_cpus_nodes,slurm_jobid,n_atom_feat
0,refit,1,0.299,1.268,1.608,-0.133,1.261,1.034,0.608,0.611,0.454,1.5148543877551015,1.608,,,,,,,,,,,,0.01,1.576,2.483,-0.662,1.43,1.264,0.436,0.419,0.308,1.5837900195795724,2.483,2023-05-15 12:08,0:00:08.589877,50,2.4.0,True,5,0.01,2,[2],0.0,Test run...,regression,../../example_data/solubility_challenge_loose_set.csv,['Solubility'],SMILES,ID,False,['dc.feat.ConvMolFeaturizer(use_chirality=True)'],7.4,OpenEye,True,random,2,0.7,0.3,k-fold,2,1,50,dc.models.GraphConvModel,grid,False,refit,False,False,[None],,
1,refit,1,0.482,1.137,1.292,-0.014,1.137,0.877,0.698,0.716,0.519,1.5788576326530617,1.292,,,,,,,,,,,,-0.163,1.743,3.038,-0.04,1.742,1.335,0.133,0.181,0.101,1.616059476421844,3.038,2023-05-15 12:08,0:00:07.821154,50,2.4.0,True,5,0.01,2,[4],0.0,Test run...,regression,../../example_data/solubility_challenge_loose_set.csv,['Solubility'],SMILES,ID,False,['dc.feat.ConvMolFeaturizer(use_chirality=True)'],7.4,OpenEye,True,random,2,0.7,0.3,k-fold,2,1,50,dc.models.GraphConvModel,grid,False,refit,False,False,[None],,
